SCENE,KEY,SENTENCE,END_TIME,SPEAKER,SHOW,Sarcasm,Sarcasm_Type,Implicit_Emotion,Explicit_Emotion,Valence,Arousal
2_400,2_400_u,"Anyway, I should go, one of the lifeguards was just about to dismantle a nuclear device.",0:05,CHANDLER,FRIENDS,0.0,NONE,Happiness,Happiness,6.0,6.0
1_1560,1_1560_u,How nice. Maybe they can carpool when they visit you in federal prison.,0:04,SHELDON,BBT,1.0,PRO,Disgust,Happiness,3.0,7.0
2_373,2_373_u,I was making a coconut phone with a professor.,0:04,CHANDLER,FRIENDS,1.0,PRO,Ridicule,Neutral,4.0,7.0
2_499,2_499_u,The end.,0:01,PHOEBE,FRIENDS,0.0,NONE,Neutral,Neutral,5.0,5.0
3_S02E03_218,3_S02E03_218_u,Do you want me to be honest or nice?,0:2.667,GILFOYLE,SV,1.0,PRO,Ridicule,Neutral,4.0,8.0
1_S10E10_269,1_S10E10_269_u,"Oh, yeah, I read about that on WhoGivesACrap.com",0:4.504,STUART,BBT,1.0,PRO,Anger,Neutral,3.0,8.0
2_479,2_479_u,No I am worried she might be Phir Resuda's,0:04,DOROTHY,GOLDENGIRLS,1.0,ILL,Frustration,Sadness,3.0,8.0
2_197,2_197_u,Ah your own brand of vigilante justice.,0:05,CHANDLER,FRIENDS,1.0,PRO,Ridicule,Surprise,4.0,7.0
2_575,2_575_u,Why? Because she can sing and play guitar and do both at the same time?,0:03,PHOEBE,FRIENDS,1.0,ILL,Anger,Happiness,3.0,6.0
2_500,2_500_u,Oh my God I love that! - Really? - NO!,0:06,MONICA,FRIENDS,1.0,ILL,Disgust,Happiness,4.0,6.0
1_S10E16_009,1_S10E16_009_u,"Aw, look at you watching sports.",0:3.070000,PENNY,BBT,1.0,PRO,Ridicule,Surprise,3.0,8.0
2_203,2_203_u,It's not funny!,0:02,ROSS,FRIENDS,0.0,NONE,Anger,Anger,3.0,7.0
1_S09E06_055,1_S09E06_055_u,Sounds like you on Cinco de Mayo.,0:3.37,HOWARD,BBT,1.0,PRO,Ridicule,Neutral,3.0,8.0
2_507,2_507_u,"No, I haven't taken her out of the trunk of the car yet.",0:04,DOROTHY,GOLDENGIRLS,1.0,PRO,Frustration,Neutral,4.0,7.0
1_S09E04_351,1_S09E04_351_u,I still love it. I just think there's room for improvement.,0:03.369000,RAJ,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
2_484,2_484_u,Yes yes it is! In Prison!!,0:03,ROSS,FRIENDS,1.0,PRO,Frustration,Neutral,2.0,8.0
3_S03E02_111,3_S03E02_111_u,"Don't you guys call it ""Rock, Rock, Rock""?",0:1.617999,GILFOYLE,SV,1.0,PRO,Disgust,Surprise,4.0,8.0
1_S11E10_337,1_S11E10_337_u,"Wow, this conversation got mean fast.",0:03.135000,STUART,BBT,0.0,NONE,Sadness,Sadness,4.0,6.0
1_S12E17_085,1_S12E17_085_u,Was one of the options the option to never come back?,0:2.935999,LEONARD,BBT,1.0,PRO,Ridicule,Neutral,3.0,8.0
1_S12E07_424,1_S12E07_424_u,What was the case?,0:01.900000,HOWARD,BBT,0.0,NONE,Excitement,Neutral,6.0,6.0
2_140,2_140_u,Sarcastic? Us? Nooo.,0:04,MODERATOR,SARCASMOHOLICS,1.0,ILL,Ridicule,Sadness,4.0,8.0
1_12083,1_12083_u,"Oh, just put it in your mouth and pop it like a zit.",0:04,HOWARD,BBT,0.0,NONE,Happiness,Happiness,6.0,7.0
2_367,2_367_u,"Well, don't  'cha wanna?",0:01,MONICA,FRIENDS,0.0,NONE,Neutral,Neutral,5.0,5.0
1_2216,1_2216_u,"Excuse me, but what about me? Why don't I get a shot?",0:04,LEONARD,BBT,0.0,NONE,Surprise,Surprise,6.0,7.0
2_297,2_297_u,"I am sorry, it was a one time thing. I was very drunk and it was someone else's subconscious",0:09,CHANDLER,FRIENDS,1.0,PRO,Ridicule,Sadness,4.0,8.0
1_S10E07_069,1_S10E07_069_u,"(chuckling): Aw, you think you have an audience, that's funny.",0:3.376000,HOWARD,BBT,1.0,PRO,Disgust,Happiness,3.0,8.0
1_S09E21_024,1_S09E21_024_u,You mean like through their window from behind a bush?,0:3.403000,LEONARD,BBT,1.0,PRO,Ridicule,Neutral,3.0,7.0
2_408,2_408_u,"Okay, but if you are not coming back soon, there is pretty much nothing I can do about it",0:06,CHANDLER,FRIENDS,1.0,PRO,Anger,Happiness,3.0,7.0
1_S09E01_027,1_S09E01_027_u,Whatever. Put us on the Internet. I've always wanted a wedding with a comment section.,0:4.538,PENNY,BBT,1.0,ILL,Ridicule,Excitement,4.0,6.0
1_S11E11_055,1_S11E11_055_u,"I have an extra ticket to the opening of The Last Jedi tonight. It was gonna be Howard's, but you can have it.",0:05.170000,RAJ,BBT,0.0,NONE,Anger,Anger,3.0,6.0
1_S10E07_198,1_S10E07_198_u,"Oh, don't worry, I won't.",0:01.417000,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S09E23_420,1_S09E23_420_u,Thank you.,0:4.170999,PENNY,BBT,1.0,ILL,Anger,Happiness,3.0,8.0
1_S11E08_005,1_S11E08_005_u,"Well, according to his text, he was on the second floor, then he stopped to tie his shoe.",0:06.170000,LEONARD,BBT,0.0,NONE,Frustration,Frustration,4.0,6.0
1_S11E13_362,1_S11E13_362_u,Did it work?,0:2.335,BERNADETTE,BBT,1.0,ILL,Anger,Neutral,4.0,7.0
2_540,2_540_u,Okay?,0:01,JOEY,FRIENDS,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S12E03_337,1_S12E03_337_u,They will find other friends.,0:02.872000,PENNY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S11E05_429,1_S11E05_429_u,"Yeah, Bernadette texted earlier. Raj is really getting on her nerves.",0:03.950000,HOWARD,BBT,0.0,NONE,Happiness,Happiness,6.0,6.0
2_542,2_542_u,"Uh, Rachel's here, so good luck man, let me know how it works out.",0:03,JOEY,FRIENDS,1.0,PRO,Frustration,Happiness,3.0,7.0
1_5627,1_5627_u,"Your girlfriend and your ex-girlfriend are hanging out together? Oh, yeah, that can only be good for you.",0:04,RAJ,BBT,1.0,PRO,Disgust,Happiness,3.0,7.0
3_S03E01_431,3_S03E01_431_u,"(SIGHS) Great timing, guys. Thank you so much. Premium stuff, Dinesh.",0:4.370999,ERLICH,SV,1.0,ILL,Anger,Happiness,3.0,8.0
1_S11E04_347,1_S11E04_347_u,What about people distracted by irritating passengers?,0:4.82,HOWARD,BBT,1.0,ILL,Frustration,Surprise,3.0,7.0
1_2837,1_2837_u,"- Chocolate? - No, I don't want any chocolate!",0:04,LEONARD,BBT,0.0,NONE,Frustration,Frustration,3.0,8.0
1_S10E02_372,1_S10E02_372_u,Would you stop? We're just gonna be on the other side of campus.,0:04.626000,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_7494,1_7494_u,that sounds a little funny to an American ear.,0:05,PERSON,BBT,0.0,NONE,Disgust,Disgust,4.0,6.0
1_S12E23_488,1_S12E23_488_u,I stand by my statement.,0:2.903000,AMY,BBT,1.0,PRO,Disgust,Excitement,4.0,7.0
3_S02E04_162,3_S02E04_162_u,"I disagree, OJ. We should hire the best person for the job, period.",0:04.208000,GILFOYLE,SV,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S12E03_286,1_S12E03_286_u,"Grape Nuts for breakfast, quiet car ride, things are really breaking my way today.",0:5.613999,SHELDON,BBT,1.0,PRO,Ridicule,Neutral,4.0,7.0
2_608,2_608_u,"You are right, by saying nice, I am virtually licking her.",0:04,CHANDLER,FRIENDS,1.0,PRO,Anger,Happiness,2.0,8.0
2_228,2_228_u,Then we went to this bar and he hooked us up with all these women!,0:03,PERSON,FRIENDS,0.0,NONE,Happiness,Happiness,6.0,7.0
1_8452,1_8452_u,I think I'm gonna go. Thank you for the burrito and the pork rinds and the 20-minute lecture on why monster trucks are better than regular trucks.,0:11,PERSON,BBT,1.0,PRO,Frustration,Neutral,3.0,7.0
1_S12E04_242,1_S12E04_242_u,Were there no other kids in Texas?,0:2.168,HOWARD,BBT,1.0,PRO,Disgust,Surprise,4.0,8.0
2_261,2_261_u,"Oh, no, no. I just meant hypothetically.",0:02,CHANDLER,FRIENDS,0.0,NONE,Sadness,Sadness,4.0,6.0
1_S09E16_101,1_S09E16_101_u,"Relax, there's room for two babies in this group.",0:2.836000,LEONARD,BBT,1.0,ILL,Ridicule,Neutral,4.0,6.0
3_S03E04_437,3_S03E04_437_u,"Thank you, Jared.",0:02.217000,OTHER,SV,0.0,NONE,Neutral,Neutral,5.0,5.0
2_66,2_66_u,"Nice jon Joe, you are quite the craftsman!",0:06,CHANDLER,FRIENDS,1.0,ILL,Anger,Happiness,4.0,8.0
2_15,2_15_u,I'm sorry man there is never a good time to have to .. Stop catching on fire.,0:08,CHANDLER,FRIENDS,1.0,EMB,Ridicule,Sadness,3.0,7.0
1_5679,1_5679_u,"I'd like to respond to that sarcastically: Yes, I relish the thought of a stranger covering my body with oil and rubbing it.",0:09,SHELDON,BBT,1.0,EMB,Frustration,Neutral,3.0,8.0
1_3842,1_3842_u,"So what, you're just gonna walk up and down the stairs?",0:05,HOWARD,BBT,0.0,NONE,Surprise,Surprise,4.0,6.0
3_S02E07_256,3_S02E07_256_u,That's very comforting.,0:2.542,OTHER,SV,1.0,ILL,Disgust,Happiness,4.0,8.0
3_S01E06_266,3_S01E06_266_u,She's attracted to ugliness.,0:1.753000,ERLICH,SV,1.0,PRO,Ridicule,Neutral,3.0,8.0
1_S12E07_005,1_S12E07_005_u,"I'm gonna hook up the garden hose, so it has running water.",0:02.600000,HOWARD,BBT,0.0,NONE,Happiness,Happiness,6.0,4.0
1_175,1_175_u,"If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you.",0:07,SHELDON,BBT,1.0,PRO,Disgust,Neutral,4.0,7.0
1_S12E02_433,1_S12E02_433_u,- We wrote you a special thank you note. - Oh.,0:03.235000,AMY,BBT,0.0,NONE,Happiness,Happiness,6.0,6.0
2_206,2_206_u,A tshirt that says - I don't belong here.,0:04,CHANDLER,FRIENDS,1.0,PRO,Ridicule,Neutral,3.0,8.0
2_168,2_168_u,Did I wake you?,0:13,CHANDLER,FRIENDS,1.0,ILL,Anger,Sadness,4.0,8.0
1_11224,1_11224_u,And here I am in the trap. You just keep talking. I'm gonna chew my leg off.,0:1,HOWARD,BBT,1.0,EMB,Sadness,Sadness,3.0,8.0
1_S10E21_151,1_S10E21_151_u,"Hey, I already set up Howard and Bernadette. It's your turn to ruin some poor girl's life.",0:5.471999,PENNY,BBT,1.0,EMB,Ridicule,Sadness,2.0,8.0
1_507,1_507_u,"Well, there's always the possibility that a trash can spontaneously formed around the letter but Occam's rasor would suggest that someone threw it out.",0:09,SHELDON,BBT,1.0,EMB,Frustration,Neutral,3.0,7.0
1_7938,1_7938_u,"Come on, let's just start walking. There's got to be a gas station or something nearby.",0:06,LEONARD,BBT,0.0,NONE,Frustration,Frustration,4.0,6.0
1_S09E04_053,1_S09E04_053_u,"Well, why don't you look at this as an opportunity? You had other roommates before Leonard. Maybe this is a chance to find someone new.",0:08.373000,BERNADETTE,BBT,0.0,NONE,Excitement,Excitement,6.0,6.0
2_170,2_170_u,The British are coming?,0:01,CHANDLER,FRIENDS,1.0,ILL,Ridicule,Neutral,3.0,8.0
1_S11E02_127,1_S11E02_127_u,Fingers crossed.,0:01.800000,AMY,BBT,0.0,NONE,Surprise,Happiness,6.0,7.0
1_S09E20_127,1_S09E20_127_u,I'm surprised he let us conceive without him.,0:3.503,HOWARD,BBT,1.0,PRO,Frustration,Surprise,2.0,7.0
1_S09E12_184,1_S09E12_184_u,(CHUCKLES) Yeah. A grown man moving into his own apartment. It's crazy times. See ya!,0:6.339,BERNADETTE,BBT,1.0,EMB,Disgust,Happiness,3.0,6.0
1_S09E02_002,1_S09E02_002_u,"How am I supposed to sleep? I've been married less than 24 hours, and my wife isn't speaking to me.",0:05.137000,LEONARD,BBT,0.0,NONE,Sadness,Sadness,3.0,5.0
2_518,2_518_u,Oh tons. I am quite the woodsman.,0:03,CHANDLER,FRIENDS,1.0,PRO,Frustration,Happiness,4.0,7.0
1_2464,1_2464_u,"You think ""coffee,"" means coffee. That is so sweet.",0:04,PENNY,BBT,1.0,PRO,Frustration,Happiness,4.0,7.0
2_58,2_58_u,Why?,0:01,PHOEBE,FRIENDS,0.0,NONE,Happiness,Happiness,6.0,6.0
2_595,2_595_u,I'd miss you if I broke up with you. Just trying to be supportive.,0:05,CHANDLER,FRIENDS,0.0,NONE,Neutral,Neutral,5.0,5.0
2_376,2_376_u,Me? I am gonna die alone!,0:04,CHANDLER,FRIENDS,1.0,ILL,Disgust,Frustration,3.0,8.0
1_S12E04_027,1_S12E04_027_u,"I didn't just drink the crazy milk, I bought the crazy cow.",0:7.341999,AMY,BBT,1.0,EMB,Frustration,Sadness,3.0,8.0
3_S03E01_185,3_S03E01_185_u,No.,0:01.132000,DINESH,SV,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S12E04_276,1_S12E04_276_u,"So, what do you want to know?",0:01.332000,OTHER,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
3_S05E02_072,3_S05E02_072_u,Congratulations. You've finally taken your rightful spot amongst the handicapped.,0:4.875,GILFOYLE,SV,1.0,PRO,Ridicule,Happiness,3.0,8.0
2_161,2_161_u,I can see it from right here. It'll cost you one husband.,0:04,CHANDLER,FRIENDS,1.0,PRO,Anger,Excitement,3.0,7.0
1_S12E18_030,1_S12E18_030_u,"Yeah, you should've seen her take down John Krasinski last week. Got him to admit he loved his wife. It was brutal.",0:7.107999,PENNY,BBT,1.0,PRO,Ridicule,Sadness,3.0,6.0
1_1262,1_1262_u,You were very clear. As was everyone else at the table.,0:04,SHELDON,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
2_78,2_78_u,"I didn't know you and Carol were getting divorced, I'm sorry.",0:02,CHANDLER,FRIENDS,0.0,NONE,Sadness,Sadness,4.0,4.0
3_S04E05_320,3_S04E05_320_u,That was the Iranian Revolutionary Guard.,0:01.870000,GILFOYLE,SV,0.0,NONE,Neutral,Neutral,5.0,3.0
2_227,2_227_u,You sure he is going to be able to crack that code?,0:04,CHANDLER,FRIENDS,1.0,ILL,Frustration,Neutral,3.0,7.0
2_596,2_596_u,Noooo. Really?,0:02,MEMBER-BOY,SARCASMOHOLICS,1.0,ILL,Ridicule,Neutral,4.0,7.0
2_627,2_627_u,"Whoa, whoa, whoa.",0:01,PERSON,FRIENDS,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S09E03_233,1_S09E03_233_u,How long do you think you can keep it from him?,0:01.666000,AMY,BBT,0.0,NONE,Fear,Fear,2.0,4.0
1_8078,1_8078_u,"Trust me, you're not Jewish. That's how they get you.",0:03,HOWARD,BBT,0.0,NONE,Frustration,Frustration,3.0,7.0
2_44,2_44_u,"Whoa, maybe I was!",0:02,JOEY,FRIENDS,0.0,NONE,Happiness,Happiness,7.0,7.0
2_407,2_407_u,Hey!,0:01,JOEY,FRIENDS,0.0,NONE,Happiness,Happiness,6.0,6.0
1_S09E04_230,1_S09E04_230_u,"Well, it's Thai food night.",0:01.166000,LEONARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S11E10_432,1_S11E10_432_u,I'll catch up with you guys. Okay.,0:02.001000,LEONARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_6860,1_6860_u,"I'm sorry, it's the bad boy attitude that comes with this hair.",0:04,SHELDON,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S11E04_162,1_S11E04_162_u,It's more of a tradition.,0:02.360000,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S10E04_262,1_S10E04_262_u,What if we do this?,0:02.667000,AMY,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_7445,1_7445_u,My limbic system wants to take your pants off.,0:04,PENNY,BBT,0.0,NONE,Excitement,Excitement,6.0,6.0
2_234,2_234_u,"See, there you go, the cleansing works!",0:02,PHOEBE,FRIENDS,0.0,NONE,Happiness,Happiness,7.0,7.0
2_102,2_102_u,No Blanche she is upset because they keep changing the taste of coke.,0:08,DOROTHY,GOLDENGIRLS,1.0,PRO,Frustration,Neutral,3.0,7.0
2_1,2_1_u,"Yes you can. You're thinking about time, you can't go back in time.",0:04,CHANDLER,FRIENDS,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S09E03_476,1_S09E03_476_u,We got a flat and couldn't get the tire off.,0:02.701000,LEONARD,BBT,0.0,NONE,Sadness,Sadness,2.0,6.0
2_8,2_8_u,"It's white plastic, with a handle, and it fits onto a stroller.",0:01,JOEY,FRIENDS,0.0,NONE,Sadness,Sadness,4.0,5.0
1_S11E21_080,1_S11E21_080_u,Is it your teen years?,0:2.809999,HOWARD,BBT,1.0,PRO,Ridicule,Neutral,4.0,7.0
2_267,2_267_u,Really!?,0:01,RACHEL,FRIENDS,0.0,NONE,Surprise,Surprise,7.0,7.0
2_380,2_380_u,Oh just like give a minute to wake up for this  ...  Ha ha! You lost the ring. You are the worst best man ever!,0:11,CHANDLER,FRIENDS,0.0,NONE,Happiness,Happiness,8.0,8.0
3_S01E04_342,3_S01E04_342_u,"For which I forewent, yes, that's a real word, one million dollars.",0:04.689000,ERLICH,SV,0.0,NONE,Anger,Anger,3.0,7.0
1_7953,1_7953_u,Why don't you ask Scotty to beam you up?,0:04,PERSON,BBT,1.0,PRO,Disgust,Neutral,4.0,5.0
2_487,2_487_u,"And Hornswoggle? What? Are you dating a character from ""Fraggle Rock""? Ahh.",0:07,CHANDLER,FRIENDS,1.0,PRO,Frustration,Surprise,4.0,8.0
1_S12E03_310,1_S12E03_310_u,Although that cinnamon roll does smell good if you'’re open to halfsies.,0:04.309000,RAJ,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_1549,1_1549_u,On a dusty highway just outside Bakersfield. Where do you think? On Mars!,0:05,HOWARD,BBT,1.0,PRO,Disgust,Neutral,2.0,8.0
1_2361,1_2361_u,Thank you so much for giving me the opportunity to help.,0:04,LEONARD,BBT,0.0,NONE,Happiness,Happiness,6.0,7.0
1_S11E13_001,1_S11E13_001_u,Newspapers? Did you find a portal back to the 1990s?,0:3.971,LEONARD,BBT,1.0,PRO,Ridicule,Surprise,4.0,8.0
1_11243,1_11243_u,I love that you're too good to pee in the kitchen sink.,0:05,HOWARD,BBT,1.0,PRO,Anger,Happiness,3.0,7.0
2_300,2_300_u,I don't think you could ever do that.,0:03,PHOEBE,FRIENDS,0.0,NONE,Frustration,Neutral,4.0,6.0
2_176,2_176_u,I'm the ruptured spleen.,0:02,CHANDLER,FRIENDS,0.0,NONE,Fear,Happiness,4.0,4.0
1_S12E02_274,1_S12E02_274_u,"Or you can ask me, the geologist who won the MacArthur Genius Grant.",0:3.904,OTHER,BBT,1.0,PRO,Sadness,Excitement,4.0,8.0
1_S10E18_423,1_S10E18_423_u,More reasons for you to stay.,0:2.468999,PENNY,BBT,1.0,PRO,Ridicule,Neutral,3.0,6.0
1_S10E18_266,1_S10E18_266_u,Do you actually pay for that haircut?,0:1.702000,PENNY,BBT,1.0,ILL,Ridicule,Surprise,3.0,8.0
1_8407,1_8407_u,"Oh, sure, what a wonderful idea. And after that, I'll make up my own rules of oral hygiene. You know, instead of flossing, I'll rub pudding on my gums. I'm going to get the number of the SyFy Channel and give them what for.",0:13,SHELDON,BBT,1.0,EMB,Frustration,Excitement,3.0,8.0
1_6221,1_6221_u,"Well, if you don't mind looking like an orange traffic cone, great.",0:04,BERNADETTE,BBT,1.0,PRO,Frustration,Neutral,4.0,6.0
1_S12E23_600,1_S12E23_600_u,(quietly): I told you these tickets weren't free.,0:2.769999,HOWARD,BBT,1.0,ILL,Frustration,Neutral,4.0,6.0
2_279,2_279_u,Sounds like she has got the whole package!,0:07,MONICA,FRIENDS,1.0,ILL,Ridicule,Excitement,4.0,6.0
1_S12E03_061,1_S12E03_061_u,You'’re the one who said you wanted to read more.,0:02.481000,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_S10E01_381,1_S10E01_381_u,They're practicing for what's coming later.,0:3.459000,OTHER,BBT,1.0,PRO,Ridicule,Neutral,4.0,7.0
2_303,2_303_u,No thanks Josephine!,0:05,CHANDLER,FRIENDS,1.0,ILL,Disgust,Happiness,4.0,6.0
1_1678,1_1678_u,Answering the question once and for all why Wolowitz bailed out of medical school.,0:05,RAJ,BBT,0.0,NONE,Disgust,Disgust,3.0,6.0
1_182,1_182_u,No. The dark crescent-shaped patterns under your arms conceal it nicely.,0:05,SHELDON,BBT,1.0,PRO,Disgust,Happiness,3.0,7.0
1_S11E11_301,1_S11E11_301_u,"No, the fern. The one in the bathroom.",0:02.735000,LEONARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
1_1798,1_1798_u,"If you don't like this stuff, let's go next door and build her a bear.",0:04,RAJ,BBT,1.0,PRO,Anger,Sadness,3.0,7.0
1_S11E01_400,1_S11E01_400_u,"Well, Bernadette has to grow a baby inside of her, and Amy has to marry one. My life is great.",0:5.199999,PENNY,BBT,1.0,EMB,Ridicule,Happiness,3.0,8.0
2_196,2_196_u,What?,0:1,PHOEBE,FRIENDS,0.0,NONE,Sadness,Sadness,4.0,5.0
1_S10E14_094,1_S10E14_094_u,"Well, when you get the machine, you can find out.",0:3.003,LEONARD,BBT,1.0,PRO,Ridicule,Neutral,3.0,6.0
2_88,2_88_u,Oh.,0:01,RACHEL,FRIENDS,0.0,NONE,Happiness,Happiness,6.0,5.0
1_S10E06_255,1_S10E06_255_u,"Imagine this: you've got the baby in one hand, groceries in the other, and you're thinking, ""How am I gonna open this trunk?""",0:10.042000,HOWARD,BBT,0.0,NONE,Neutral,Neutral,6.0,5.0
2_546,2_546_u,"Oh sure, she was probably up all night excited about the party she knows is happening.",0:05,CHANDLER,FRIENDS,1.0,ILL,Ridicule,Neutral,3.0,8.0
1_S12E10_245,1_S12E10_245_u,"And when I was little and my dog died, my mom sat me down and very gently told me that she wished the truck had hit my dad instead.",0:6.740000,LEONARD,BBT,1.0,EMB,Disgust,Neutral,2.0,9.0
1_S12E08_258,1_S12E08_258_u,You can do that but you still can't get my bra off.,0:5.237999,BERNADETTE,BBT,1.0,PRO,Ridicule,Sadness,2.0,8.0
1_276,1_276_u,"Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough.",0:08,LEONARD,BBT,1.0,PRO,Frustration,Neutral,3.0,8.0
2_581,2_581_u,"We were wondering what was taking so long with the gift, but now we understand you were doing this.",0:09,CHANDLER,FRIENDS,1.0,PRO,Frustration,Neutral,3.0,8.0
1_S12E04_070,1_S12E04_070_u,"Okay, listen, I'm really worried about this whole Raj thing.",0:02.609000,PENNY,BBT,0.0,NONE,Fear,Fear,4.0,6.0
1_12275,1_12275_u,"Uh, no. I overheard Bernadette tell Howard she was making him a meat loaf, and you don't have to not ask me twice.",0:08,PERSON,BBT,0.0,NONE,Sadness,Sadness,4.0,6.0
1_S09E01_368,1_S09E01_368_u,"Wow! Well, marriage must agree with you. Well, you are just glowing.",0:11.04499,SHELDON,BBT,1.0,PRO,Disgust,Happiness,4.0,8.0
1_S12E11_002,1_S12E11_002_u,- A waste of champagne?,0:3.002999,PENNY,BBT,1.0,PRO,Disgust,Neutral,4.0,8.0
1_7490,1_7490_u,"It's okay, you know, we space cowboys don't do what we do for glory and fame. We leave that to your rock stars and your athletes and your Howie Mandels.",0:14,HOWARD,BBT,0.0,NONE,Frustration,Frustration,3.0,6.0
1_7047,1_7047_u,"Also instead of just living in your mother's house, you could actually live inside her body.",0:06,LEONARD,BBT,1.0,EMB,Disgust,Neutral,3.0,7.0
1_4290,1_4290_u,I just have a question. Does Bernadette ever talk about me?,0:05,HOWARD,BBT,0.0,NONE,Neutral,Neutral,5.0,5.0
2_92,2_92_u,"No, no, I am just looking for a man to draw on me with chalk.",0:04,CHANDLER,FRIENDS,1.0,PRO,Frustration,Neutral,3.0,8.0
1_S10E03_177,1_S10E03_177_u,"Gentlemen, I am ready to work. To quote The Martian, ""Let's science the feces out of this!"" That's The Martian the book and The Martian the movie, not Marvin the Martian.",0:08.292000,SHELDON,BBT,0.0,NONE,Excitement,Excitement,7.0,7.0
1_3256,1_3256_u,"I'm sorry, fiddling with yourself in the bathtub is a real class act.",0:05,PERSON,BBT,1.0,PRO,Disgust,Happiness,3.0,8.0
2_225,2_225_u,"I don't know, something girlie.",0:02,ROSS,FRIENDS,0.0,NONE,Happiness,Happiness,7.0,7.0
1_80,1_80_u,"Since it's not bee season, you can have my epinephrine.",0:04,SHELDON,BBT,0.0,NONE,Disgust,Excitement,4.0,6.0
